,Passengers_In
Brunei,6924
Canada,24860
Chile,12877
China,201740
Cook Islands,1192
Fiji,45807
Hong Kong (SAR),144679
India,7414
Indonesia,143287
Japan,73281
Korea,33654
Malaysia,122707
Mauritius,4410
Nauru,796
New Caledonia,10338
New Zealand,355141
Papua New Guinea,10904
Philippines,30503
Qatar,48096
Singapore,267931
Solomon Islands,2087
South Africa,14917
Sri Lanka,7913
Taiwan,27952
Thailand,78714
Tonga,1294
UK,19373
United Arab Emirates,201476
USA,161713
Vanuatu,8765
Vietnam,25635
Western Samoa,2025
