Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,,Month_ID
ADELAIDE,JAN,294269,298774,63966,53541,,1
ADELAIDE,FEB,275909,266178,41150,30615,,2
ADELAIDE,MAR,192633,193960,23735,18459,,3
ADELAIDE,APR,5462,6383,0,0,,4
ADELAIDE,MAY,7273,8466,0,0,,5
ADELAIDE,JUN,12264,12993,26,51,,6
ADELAIDE,JUL,25774,27491,350,313,,7
ADELAIDE,AUG,36135,38427,754,661,,8
BRISBANE,JAN,707885,734476,333471,283668,,1
BRISBANE,FEB,606981,612685,223875,197282,,2
BRISBANE,MAR,445000,440149,138690,125177,,3
BRISBANE,APR,26799,28101,2379,6582,,4
BRISBANE,MAY,32659,32637,1809,2679,,5
BRISBANE,JUN,71393,76000,4496,5537,,6
BRISBANE,JUL,178059,169412,3985,7081,,7
BRISBANE,AUG,139600,144750,2853,8057,,8
CAIRNS,JAN,167386,180829,28638,24465,,1
CAIRNS,FEB,112318,121118,24070,19120,,2
CAIRNS,MAR,87371,93860,10976,10079,,3
CAIRNS,APR,3459,3967,30,24,,4
CAIRNS,MAY,4457,4324,37,55,,5
CAIRNS,JUN,13751,12639,102,144,,6
CAIRNS,JUL,54621,49769,53,72,,7
CAIRNS,AUG,47105,50717,79,58,,8
CANBERRA,JAN,107782,97761,2617,3087,,1
CANBERRA,FEB,121940,117645,2265,2279,,2
CANBERRA,MAR,77060,74706,1471,1174,,3
CANBERRA,APR,2044,2334,0,0,,4
CANBERRA,MAY,2891,2827,0,0,,5
CANBERRA,JUN,6861,6484,0,0,,6
CANBERRA,JUL,10723,11907,0,0,,7
CANBERRA,AUG,7072,6437,0,0,,8
DARWIN,JAN,64657,56560,15026,10712,,1
DARWIN,FEB,48141,50081,8685,5674,,2
DARWIN,MAR,41355,39999,4342,2910,,3
DARWIN,APR,3401,3309,0,0,,4
DARWIN,MAY,3014,2736,0,0,,5
DARWIN,JUN,6728,6568,0,0,,6
DARWIN,JUL,14237,12332,0,0,,7
DARWIN,AUG,19355,19061,0,0,,8
GOLD COAST,JAN,262457,276137,52235,47115,,1
GOLD COAST,FEB,185735,189523,36789,32871,,2
GOLD COAST,MAR,127307,137163,20412,18038,,3
GOLD COAST,APR,596,922,0,0,,4
GOLD COAST,MAY,1025,1272,0,0,,5
GOLD COAST,JUN,2252,2837,0,0,,6
GOLD COAST,JUL,21997,19649,0,0,,7
GOLD COAST,AUG,4075,5636,0,0,,8
HOBART,JAN,135552,149565,0,0,,1
HOBART,FEB,115076,113163,0,0,,2
HOBART,MAR,72088,80867,0,0,,3
HOBART,APR,780,1341,0,0,,4
HOBART,MAY,1263,2003,0,0,,5
HOBART,JUN,2302,3099,0,0,,6
HOBART,JUL,2840,3618,0,0,,7
HOBART,AUG,2400,3050,0,0,,8
MELBOURNE,JAN,1116371,1053603,581276,514803,,1
MELBOURNE,FEB,921157,934726,408642,334254,,2
MELBOURNE,MAR,624922,619391,244268,227490,,3
MELBOURNE,APR,20061,21697,5448,12355,,4
MELBOURNE,MAY,29128,28400,5643,9003,,5
MELBOURNE,JUN,60190,62328,6431,9456,,6
MELBOURNE,JUL,29537,31636,49,12705,,7
MELBOURNE,AUG,6854,13444,0,14761,,8
PERTH,JAN,336945,359009,238157,204575,,1
PERTH,FEB,297652,300717,169482,135267,,2
PERTH,MAR,233956,226081,93680,84820,,3
PERTH,APR,17595,17136,1696,5422,,4
PERTH,MAY,15780,17204,1141,2285,,5
PERTH,JUN,29887,31756,1652,2469,,6
PERTH,JUL,53442,55274,2702,3866,,7
PERTH,AUG,58156,59012,2038,4142,,8
SYDNEY,JAN,1142353,1131604,877231,775800,,1
SYDNEY,FEB,1003957,983714,595097,506896,,2
SYDNEY,MAR,657237,661525,341102,344459,,3
SYDNEY,APR,28082,20096,7751,33619,,4
SYDNEY,MAY,33504,28774,10119,20218,,5
SYDNEY,JUN,74605,65547,12537,21934,,6
SYDNEY,JUL,134227,140497,12877,29798,,7
SYDNEY,AUG,55176,35022,9825,28770,,8
